hotel_name;address;detail_url;show_rooms_url;min_price;rating;rating_category;reviews_count
Dudeevukh;ulitsa Narodnaya, 4, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10367494/guesthouse_dudeevukh/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10367494/guesthouse_dudeevukh/;from ₽ 5,975 per night;8.9;Excellent;26 reviews
Bajkal - Severnoe More Hotel;Ulitsa Dal'nevostochnaya, 156, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8526970/bajkal_severnoe_more_hotel/;https://ostrovok.ru/hotel/russia/irkutsk/mid8526970/bajkal_severnoe_more_hotel/;from ₽ 8,269 per night;8.1;Excellent;31 reviews
Domik Na Kholme;ulitsa Suvorova, 19, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid13329776/domik_na_kholme_guest_house/;https://ostrovok.ru/hotel/russia/listvyanka/mid13329776/domik_na_kholme_guest_house/;from ₽ 13,452 per night;9.7;Fantastic;7 reviews
Baykal;Pereulok Olimpijskij d. 4, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid13644417/guest_house_baykal/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid13644417/guest_house_baykal/;from ₽ 9,500 per night;;;
Marx Hotel;ulitsa Karla Marksa, 15 A, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8662194/marx_hotel/;https://ostrovok.ru/hotel/russia/irkutsk/mid8662194/marx_hotel/;from ₽ 5,132 per night;7.8;Very good;27 reviews
Beliy Sobol Park-Hotel;Microrayon Krasniy Klyuch, 93, Baikalsk;https://ostrovok.ru/hotel/russia/baikalsk/mid8571122/beliy_sobol_parkhotel/;https://ostrovok.ru/hotel/russia/baikalsk/mid8571122/beliy_sobol_parkhotel/;from ₽ 10,243 per night;9.1;Fantastic;10 reviews
Anastasiya GK Hotel;ulitsa Angarskaya, 8/2, Nicola;https://ostrovok.ru/hotel/russia/nicola/mid13164685/hotel_anastasiya_2/;https://ostrovok.ru/hotel/russia/nicola/mid13164685/hotel_anastasiya_2/;from ₽ 13,296 per night;8.6;Excellent;108 reviews
Magas Hotel;ulitsa Profsoyuznaya, 43, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid6839053/magas/;https://ostrovok.ru/hotel/russia/irkutsk/mid6839053/magas/;from ₽ 2,410 per night;8.3;Excellent;17 reviews
EtnoDom Baykal;ulitsa Rabochaya, 4, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10017609/baza_otdykha_etnodom_baykal/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10017609/baza_otdykha_etnodom_baykal/;from ₽ 7,785 per night;9.9;Fantastic;14 reviews
Chastny Dom Na Peskakh;ulitsa 60 let Pobedyi, 3, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid13430917/chastny_dom_na_peskakh_guest_house/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid13430917/chastny_dom_na_peskakh_guest_house/;from ₽ 4,277 per night;;;
Parus Hotel;ulitsa Gorkogo 93A, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid9996236/parus_18/;https://ostrovok.ru/hotel/russia/listvyanka/mid9996236/parus_18/;from ₽ 5,521 per night;8.6;Excellent;39 reviews
Larch Hotel;Ulitsa Gudina 22А, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid10360512/baykal_khan_listvyanka/;https://ostrovok.ru/hotel/russia/listvyanka/mid10360512/baykal_khan_listvyanka/;from ₽ 6,532 per night;8.6;Excellent;82 reviews
UDA Hotel;Russia, Irkutsk Region, Nizhneudinsk, ulitsa Lenina, 1, Nizhneudinsk;https://ostrovok.ru/hotel/russia/nizhneudinsk/mid8752619/uda_2/;https://ostrovok.ru/hotel/russia/nizhneudinsk/mid8752619/uda_2/;from ₽ 1,762 per night;7.2;Very good;64 reviews
Sunrise;Pervomajskaya ulitsa, 25A, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10485526/gostevoy_dom_sunrise/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10485526/gostevoy_dom_sunrise/;from ₽ 9,331 per night;9.0;Fantastic;47 reviews
Wind Lake;2-ya Rejdovaya ulitsa, 12, Bolshoye Goloustnoye;https://ostrovok.ru/hotel/russia/bol'shoye_goloustnoye/mid13437748/wind_lake_guest_house/;https://ostrovok.ru/hotel/russia/bol'shoye_goloustnoye/mid13437748/wind_lake_guest_house/;from ₽ 15,805 per night;7.1;Very good;2 reviews
Sozvezdie Bajkala Hotel;Ulitsa Partizanskaya, 14, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid8666978/hotel_sozvezdie_baikala/;https://ostrovok.ru/hotel/russia/listvyanka/mid8666978/hotel_sozvezdie_baikala/;from ₽ 5,287 per night;8.6;Excellent;19 reviews
Yolochka;ulitsa Chapaeva 8, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid9992200/yolochka/;https://ostrovok.ru/hotel/russia/listvyanka/mid9992200/yolochka/;from ₽ 3,700 per night;7.2;Very good;15 reviews
Brusnika;Ulitsa Gogolya, 61, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid6327901/brusinka/;https://ostrovok.ru/hotel/russia/irkutsk/mid6327901/brusinka/;from ₽ 1,750 per night;9.2;Fantastic;52 reviews
Dom Baikal;ulitsa Lapina, 14, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid10151922/dom_baykal_guest_house/;https://ostrovok.ru/hotel/russia/irkutsk/mid10151922/dom_baykal_guest_house/;from ₽ 4,027 per night;8.6;Excellent;37 reviews
Gostinitsa Yubilejnaya;mikrorayon Yubileyniy 118, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid6433819/hotel_yubileinaya__2/;https://ostrovok.ru/hotel/russia/irkutsk/mid6433819/hotel_yubileinaya__2/;from ₽ 2,683 per night;8.1;Excellent;34 reviews
Baykalskie Matryoshki;ulitsa Kulikova 36A, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid9996254/guest_house_bajkalskie_matryoshki/;https://ostrovok.ru/hotel/russia/listvyanka/mid9996254/guest_house_bajkalskie_matryoshki/;from ₽ 5,430 per night;8.7;Excellent;25 reviews
City Park Living quarters;ulitsa Krasnyih Madyar, 29, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid9987117/city_park_hotel_13/;https://ostrovok.ru/hotel/russia/irkutsk/mid9987117/city_park_hotel_13/;from ₽ 1,854 per night;7.3;Very good;22 reviews
Klubnyij Kvartal;bul'var Pobedyi 30, Bratsk;https://ostrovok.ru/hotel/russia/bratsk/mid9081992/klubnyij_kvartal_apartments/;https://ostrovok.ru/hotel/russia/bratsk/mid9081992/klubnyij_kvartal_apartments/;from ₽ 2,851 per night;8.7;Excellent;48 reviews
Olkhon House Family;ulitsa Rabochaya 2, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid11278129/olkhon_house_guest_family_house/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid11278129/olkhon_house_guest_family_house/;from ₽ 4,865 per night;6.2;Good;5 reviews
