id,name,address,address_en,stars,rating,review_count,image_count,latitude,longitude,category,has_verified_owner,phone_available
110098224725,Алтан,"Иркутская область, Ольхонский район, Шара-Тоготское муниципальное образование","Irkutsk Region, Olkhonskiy rayon, Shara-Togotskoye munitsipalnoye obrazovaniye",2,4.5,81,304,53.086106,106.799561,Гостиница,False,False
202367874419,Александровский двор,"Иркутский район, Уриковское муниципальное образование, деревня Хайрюзовка, Центральная улица, 11","Irkutskiy munitsipalny okrug, derevnya Khayryuzovka, Tsentralnaya ulitsa, 11",,4.5,15,82,52.402676,104.193086,Иное жильё,False,False
1135023483,Вега,"Иркутск, улица Игошина, 5","Irkutsk, ulitsa Igoshina, 5",2,4.6,76,61,52.261977353233426,104.26653326242932,Гостиница,False,False
32872509419,Байкальские Сезоны,"Иркутский муниципальный округ, посёлок Ангарские Хутора, Прибрежная улица, 5А","Irkutskiy munitsipalny okrug, posyolok Angarskiye Khutora, Pribrezhnaya ulitsa, 7",3,5,241,527,51.906729,104.805556,Гостиница,False,False
59719416173,130 Hotel,"Иркутск, улица Лапина, 43А","Irkutsk, Lapin street, 43А",,4.5,188,136,52.276484,104.290423,Гостиница,False,False
1775040780,София,"Иркутск, Куликовская улица, 10","Irkutsk, Kulikovskaya ulitsa, 10",3,4.2,77,115,52.361774,104.217464,Гостиница,False,False
117851675583,Центральный парк на переулке Строительный,"Иркутск, Строительный переулок, 8","Irkutsk, Stroitelny pereulok, 8",,0,0,2,52.2713,104.29749,Иное жильё,False,False
23091375149,Альпари,"Иркутск, микрорайон Приморский, 24А","Irkutsk, mikrorayon Primorskiy, 24А",,4.4,123,117,52.23197456030345,104.30832472867878,Гостиница,False,False
1740738018,Байкал - Северное море,"Иркутск, Дальневосточная улица, 156","Irkutsk, Dalnevostochnaya ulitsa, 156",4,4.7,770,428,52.252064,104.320937,Гостиница,False,False
5461377971,Резиденция Байкальские Холмы,"Иркутский муниципальный округ, рабочий посёлок Листвянка, Горная улица, 21","Irkutskiy munitsipalny okrug, rabochiy posyolok Listvyanka, Gornaya ulitsa, 21",,5,158,57,51.86042399,104.861987,Иное жильё,False,False
60834065236,Соколов,"Иркутск, Байкальская улица, 129","Irkutsk, Baykalskaya Street, 129",,4.4,432,157,52.262592,104.31534,Гостиница,False,False
19624988671,Проспект,"Иркутск, проспект Маршала Жукова, 5/4","Irkutsk, Marshala Zhukova Avenue, 5/4",,4.6,26,53,52.250487,104.353909,Гостиница,False,False
1777466555,На Звездинской,"Иркутск, Звездинская улица, 5","Irkutsk, Zvezdinskaya ulitsa, 5",2,4.7,127,146,52.273453,104.255969,Гостиница,False,False
1012206472,Солнце,"Иркутск, Байкальская улица, 295Б","Irkutsk, Baykalskaya Street, 295Б",4,4.9,409,423,52.25726,104.358463,Гостиница,False,False
49837647728,Smart Hotel КДО Иркутск,"Иркутск, улица Челнокова, 1","Irkutsk, ulitsa Chelnokova, 1",,3.6,14,44,52.282742,104.259905,Гостиница,False,False
1233019829,Green Hotel,"Иркутск, улица Лыткина, 32","Irkutsk, ulitsa Lytkina, 32",2,4.2,183,130,52.26738,104.316672,Гостиница,False,False
238295123154,Михаил Строгов,"Иркутск, Депутатская улица, 36","Irkutsk, Deputatskaya street, 36",,4.7,295,158,52.273625,104.320782,Иное жильё,False,False
